username,password,role,userID
admin,admin123,STANDARD USER,1000
a,1,STANDARD USER,1001
b,1,STANDARD USER,1002
admin,admin123,STANDARD USER,1003
admin,admin123,STANDARD USER,1004
admin,admin123,STANDARD USER,1005
z,1,STANDARD USER,1006
admin,admin123,STANDARD USER,1007
admin,admin123,STANDARD USER,1008
admin,admin123,STANDARD USER,1009
admin,admin123,STANDARD USER,1010
nt,3,STANDARD USER,1011
admin,admin123,STANDARD USER,1012
admin,admin123,STANDARD USER,1013
admin,admin123,STANDARD USER,1014
admin,admin123,STANDARD USER,1015
admin,admin123,STANDARD USER,1016
admin,admin123,STANDARD USER,1017
admin,admin123,STANDARD USER,1018
admin,admin123,STANDARD USER,1019
admin,admin123,STANDARD USER,1020
admin,admin123,STANDARD USER,1021
admin,admin123,STANDARD USER,1022
admin,admin123,STANDARD USER,1023
admin,admin123,STANDARD USER,1024
admin,admin123,STANDARD USER,1025
m,2,STANDARD USER,1026
admin,admin123,STANDARD USER,1027
admin,admin123,STANDARD USER,1028
admin,admin123,STANDARD USER,1029
admin,admin123,STANDARD USER,1030
admin,admin123,STANDARD USER,1031
aman,2002,STANDARD USER,1032
